Mj_hon	Mj_strat	Mj_ossChoose0	Mj_ossChoose1	Mj_probChoose2	Mj_probChoose3	Mj_probChoose4	Mj_probChoose5	Mj_probChoose6	Mj_reluctantStrat7	Mj_probChoose8	Mj_strat_push	Mj_ossChoose0_push	Mj_ossChoose1_push	Mj_probChoose2_push	Mj_probChoose3_push	Mj_probChoose4_push	Mj_probChoose5_push	Mj_probChoose6_push	Mj_reluctantStrat7_push	Mj_probChoose8_push	Score_hon	Score_strat	Score_ossChoose0	Score_ossChoose1	Score_probChoose2	Score_probChoose3	Score_probChoose4	Score_strat_push	Score_ossChoose0_push	Score_ossChoose1_push	Score_probChoose2_push	Score_probChoose3_push	Score_probChoose4_push	Irv_hon	Irv_strat	Irv_ossChoose0	Irv_ossChoose1	Irv_probChoose2	Irv_probChoose3	Irv_probChoose4	Irv_strat_push	Irv_ossChoose0_push	Irv_ossChoose1_push	Irv_probChoose2_push	Irv_probChoose3_push	Irv_probChoose4_push	type_hon	type_strat	type_ossChoose0	type_ossChoose1	type_probChoose2	type_probChoose3	type_probChoose4	type_strat_push	type_ossChoose0_push	type_ossChoose1_push	type_probChoose2_push	type_probChoose3_push	type_probChoose4_push
0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0	0	0	0	0	0	0	0	0	0	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0	0	0	0	0	0	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0	0	0	0	0	0	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0.2918280007758592	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.3303582904304972	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	0.665448290366097	0.665448290366097	0.665448290366097	1.0	1.0	0.665448290366097	1.0	1.0	0.665448290366097	1.0	1	1	1	0	0	1	0	0	1	0	1.0	0.665448290366097	0.665448290366097	0.665448290366097	1.0	0.665448290366097	1.0	1	1	1	0	1	0	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0	0	0	0	0	0	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	0.665448290366097	1.0	0	0	0	0	0	1
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.1532164787999036	1.0	-0.25577357398790107	-0.25577357398790107	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	-0.25577357398790107	0.1532164787999036	1	1	1	0	0	0	0	0	1	0	0.1532164787999036	-0.25577357398790107	-0.25577357398790107	-0.25577357398790107	0.1532164787999036	0.1532164787999036	-0.25577357398790107	1	1	1	0	0	1	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	-0.25577357398790107	0.1532164787999036	0.1532164787999036	0	0	0	1	0	0	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	0.1532164787999036	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.4109001322524678	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.9425061995776529	0.5034291532975392	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	1	0	0	0	0	0	0	0	0	0	0.9425061995776529	0.9425061995776529	1.0	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0	1	0	0	0	0	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0	0	0	0	0	0	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0.9425061995776529	0	0	0	0	0	0
0.5991254279338317	0.07234596758641854	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	1	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0	0	0	0	0	0	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0.5991254279338317	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
